*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:27:52	08/11/2021	08:27:53	320,05	0,34	0,34	0,34	0,34
08/11/2021	08:27:53	08/11/2021	08:27:54	321,03	0,14	0,14	0,14	0,14
08/11/2021	08:27:54	08/11/2021	08:27:55	322,02	0,23	0,23	0,23	0,23
08/11/2021	08:27:55	08/11/2021	08:27:56	323,02	1,53	0,53	1,49	1,53
08/11/2021	08:27:56	08/11/2021	08:27:57	324,02	0,37	0,37	0,37	0,37
08/11/2021	08:27:57	08/11/2021	08:27:58	325,02	2,56	0,65	2,43	2,56
08/11/2021	08:27:58	08/11/2021	08:27:59	326,00	0,25	0,23	0,25	0,25
08/11/2021	08:27:59	08/11/2021	08:28:00	326,98	0,31	0,31	0,31	0,31
08/11/2021	08:28:00	08/11/2021	08:28:01	328,00	0,22	0,22	0,22	0,22
08/11/2021	08:28:01	08/11/2021	08:28:02	328,98	7,04	0,44	5,61	6,97
08/11/2021	08:28:02	08/11/2021	08:28:03	329,97	0,29	0,29	0,29	0,29
08/11/2021	08:28:03	08/11/2021	08:28:04	330,98	0,26	0,26	0,26	0,26
08/11/2021	08:28:04	08/11/2021	08:28:05	331,98	0,35	0,35	0,35	0,35
08/11/2021	08:28:05	08/11/2021	08:28:06	332,98	0,42	0,41	0,42	0,42
08/11/2021	08:28:06	08/11/2021	08:28:07	333,97	0,20	0,20	0,20	0,20
08/11/2021	08:28:07	08/11/2021	08:28:08	334,95	2,77	0,39	2,58	2,77
08/11/2021	08:28:08	08/11/2021	08:28:09	335,95	0,35	0,35	0,35	0,35
08/11/2021	08:28:09	08/11/2021	08:28:10	336,94	0,29	0,29	0,29	0,29
08/11/2021	08:28:10	08/11/2021	08:28:11	337,95	0,29	0,29	0,29	0,29
08/11/2021	08:28:11	08/11/2021	08:28:12	338,94	0,37	0,37	0,37	0,37
08/11/2021	08:28:12	08/11/2021	08:28:13	339,92	0,17	0,17	0,17	0,17
08/11/2021	08:28:13	08/11/2021	08:28:14	340,94	0,71	0,65	0,71	0,71
08/11/2021	08:28:14	08/11/2021	08:28:15	341,92	0,32	0,32	0,32	0,32
08/11/2021	08:28:15	08/11/2021	08:28:16	342,94	0,35	0,35	0,35	0,35
08/11/2021	08:28:16	08/11/2021	08:28:17	343,92	0,32	0,32	0,32	0,32
08/11/2021	08:28:17	08/11/2021	08:28:18	344,91	0,39	0,39	0,39	0,39
08/11/2021	08:28:18	08/11/2021	08:28:19	345,91	0,17	0,17	0,17	0,17
08/11/2021	08:28:19	08/11/2021	08:28:20	346,92	1,60	1,19	1,59	1,60
08/11/2021	08:28:20	08/11/2021	08:28:21	347,91	0,68	0,48	0,67	0,68
08/11/2021	08:28:21	08/11/2021	08:28:22	348,89	0,30	0,30	0,30	0,30
08/11/2021	08:28:22	08/11/2021	08:28:23	349,91	0,26	0,25	0,26	0,26
08/11/2021	08:28:23	08/11/2021	08:28:24	350,89	4,13	0,51	3,77	4,13
08/11/2021	08:28:24	08/11/2021	08:28:25	351,87	1,30	0,91	1,29	1,30
08/11/2021	08:28:25	08/11/2021	08:28:26	352,86	0,33	0,33	0,33	0,33
08/11/2021	08:28:26	08/11/2021	08:28:27	353,87	0,91	0,64	0,91	0,91
08/11/2021	08:28:27	08/11/2021	08:28:28	354,86	0,08	0,08	0,08	0,08
08/11/2021	08:28:28	08/11/2021	08:28:29	355,86	0,66	0,53	0,65	0,66
08/11/2021	08:28:29	08/11/2021	08:28:30	356,86	0,46	0,46	0,46	0,46
08/11/2021	08:28:30	08/11/2021	08:28:31	357,86	0,38	0,36	0,38	0,38
08/11/2021	08:28:31	08/11/2021	08:28:32	358,84	0,86	0,72	0,86	0,86
08/11/2021	08:28:32	08/11/2021	08:28:33	359,83	0,21	0,21	0,21	0,21
08/11/2021	08:28:33	08/11/2021	08:28:34	360,84	0,28	0,28	0,28	0,28
08/11/2021	08:28:34	08/11/2021	08:28:35	361,86	0,39	0,39	0,39	0,39
08/11/2021	08:28:35	08/11/2021	08:28:36	362,84	0,52	0,52	0,52	0,52
08/11/2021	08:28:36	08/11/2021	08:28:37	363,83	0,63	0,50	0,62	0,63
08/11/2021	08:28:37	08/11/2021	08:28:38	364,83	0,23	0,23	0,23	0,23
08/11/2021	08:28:38	08/11/2021	08:28:39	365,83	0,33	0,33	0,33	0,33
